PIC;URAIAN KEGIATAN/ PROGRAM;;;;Juni;;;;Juli;;;;Agustus;;;;September;;;;Oktober;;;;November;;;;Desember;;;;Januari;;;;Februari;;;;Maret;;;;PIC;Catatan;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDRI;;;KHDTK Universitas Bengkulu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INDRI;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDRI;;;KHDTK Wanadipa UNDIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INDRI;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
